2025-09-01T04:14:00.395504+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '11bdf686-b09a-4d6f-8486-c2f5f9fa6626', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': '9dc45db3-ec40-4cd6-80a6-85fd5de03b9b', 'created': '2025-09-01T04:14:00.386482+00:00'}
2025-09-01T04:14:03.475824+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '782ccf24-48b0-4dd7-b813-5db40165600c', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 9, 'end_line': 10, 'runner_ident': '9dc45db3-ec40-4cd6-80a6-85fd5de03b9b', 'created': '2025-09-01T04:14:03.467301+00:00'}
2025-09-01T04:14:03.476103+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'ab83afcb-8609-4e24-aa90-d46b7f4a0f6d', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 10, 'end_line': 11, 'runner_ident': '9dc45db3-ec40-4cd6-80a6-85fd5de03b9b', 'created': '2025-09-01T04:14:03.467490+00:00'}
2025-09-01T04:14:32.731920+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '5ce007d8-8916-4b8f-9090-25ff1edab1d0', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': 'cb6b746e-90dc-4677-aaae-9c08523cbc5d', 'created': '2025-09-01T04:14:32.730602+00:00'}
2025-09-01T04:14:32.732528+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '8132c89b-e9d4-4acb-89d5-d891c85a06c8', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': 'cb6b746e-90dc-4677-aaae-9c08523cbc5d', 'created': '2025-09-01T04:14:32.730828+00:00'}
2025-09-01T04:24:05.530959+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '81702fcd-9010-4ba9-b510-80019452bea2', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': '99c4c8b2-8d29-4bfe-868d-ccb8b4127102', 'created': '2025-09-01T04:24:05.527339+00:00'}
2025-09-01T04:24:05.531658+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '25ecd60d-081b-4aad-bf6a-1fe0c2790f3d', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': '99c4c8b2-8d29-4bfe-868d-ccb8b4127102', 'created': '2025-09-01T04:24:05.527540+00:00'}
2025-09-01T04:24:07.786601+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '1db868a3-3713-4040-a95d-8d34e56fc4ed', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 9, 'end_line': 10, 'runner_ident': '99c4c8b2-8d29-4bfe-868d-ccb8b4127102', 'created': '2025-09-01T04:24:07.777990+00:00'}
2025-09-01T04:24:07.786919+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '75d665e1-e33f-4fa1-85dd-f7ed6983f9a2', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 10, 'end_line': 11, 'runner_ident': '99c4c8b2-8d29-4bfe-868d-ccb8b4127102', 'created': '2025-09-01T04:24:07.778147+00:00'}
2025-09-01T04:43:49.080141+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '00547a59-99e7-497d-afac-01806eb05099', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': 'c1de6e6b-2976-4a76-b1d8-35060b4417ec', 'created': '2025-09-01T04:43:49.070767+00:00'}
2025-09-01T04:43:49.080762+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '8a8e51e1-2910-4bbb-a529-c1abe8b3aa2d', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': 'c1de6e6b-2976-4a76-b1d8-35060b4417ec', 'created': '2025-09-01T04:43:49.070964+00:00'}
2025-09-01T04:43:51.676928+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '2eba4c28-12a4-4c49-b8c0-05a8d3e57feb', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 9, 'end_line': 10, 'runner_ident': 'c1de6e6b-2976-4a76-b1d8-35060b4417ec', 'created': '2025-09-01T04:43:51.667247+00:00'}
